epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4272,2.24844,5.01424,1.97244,0.31248,0.09517,0.02296,0.01152,2.05081,5.60281,1.68421,6.672e-05,6.672e-05,6.672e-05
2,20.5042,1.66993,3.05929,1.48073,0.18823,0.52711,0.22015,0.10596,1.93097,4.36731,1.39641,0.000135546,0.000135546,0.000135546
3,28.6711,1.54212,2.26363,1.40979,0.24284,0.60809,0.32776,0.14408,2.06916,2.71339,1.4239,0.000203683,0.000203683,0.000203683
4,37.2523,1.47484,1.94731,1.3601,0.34032,0.6555,0.42163,0.18165,2.01419,1.78755,1.41812,0.000271133,0.000271133,0.000271133
5,46.0039,1.4417,1.82548,1.35515,0.34839,0.71088,0.4461,0.19664,1.92527,1.75317,1.40977,0.000272496,0.000272496,0.000272496
6,53.9976,1.39627,1.71538,1.33609,0.37634,0.72784,0.46192,0.23477,1.61571,1.61373,1.30557,0.000271119,0.000271119,0.000271119
7,62.5607,1.32692,1.60286,1.29722,0.40289,0.75017,0.46216,0.24183,1.58587,1.54502,1.27298,0.000269743,0.000269743,0.000269743
8,71.374,1.33697,1.58704,1.29215,0.42275,0.71973,0.514,0.20427,2.09971,1.4981,1.46533,0.000268367,0.000268367,0.000268367
9,79.542,1.28678,1.53632,1.28126,0.44268,0.7944,0.51839,0.29708,1.36182,1.47283,1.22542,0.000266991,0.000266991,0.000266991
10,88.2435,1.3214,1.49103,1.28744,0.42747,0.83712,0.49355,0.28105,1.40175,1.4021,1.22765,0.000265615,0.000265615,0.000265615
11,97.0597,1.30681,1.45778,1.28524,0.47043,0.85471,0.6005,0.33748,1.47236,1.29052,1.23337,0.000264239,0.000264239,0.000264239
12,105.256,1.27301,1.43211,1.26771,0.44187,0.85007,0.50524,0.29116,1.40651,1.35684,1.2257,0.000262863,0.000262863,0.000262863
13,113.916,1.2663,1.3945,1.25483,0.43353,0.81405,0.50004,0.29899,1.30656,1.379,1.21295,0.000261487,0.000261487,0.000261487
